750,150,5794.64,2667.22
750,200,5794.64,3101.28
750,250,5794.64,3101.28
750,300,5794.64,3101.28
750,350,5794.64,3101.28
750,400,4821.33,2658.18
750,450,5794.64,3101.28
750,500,4062.49,3101.28
750,550,5794.64,3101.28
750,600,5016.12,3101.28
750,650,4113.15,3101.28
750,700,5074.03,2400.52
750,750,5006.05,3101.28
750,800,4821.33,2658.18
750,850,4113.15,3101.28
750,900,5794.64,2667.22
750,950,5794.64,3101.28
750,1000,5794.64,3101.28
800,50,5794.64,3101.28
800,100,4823.38,2667.22
800,150,4821.33,2658.18
800,200,5794.64,3101.28
800,250,4315.71,3131.46
800,300,4748.61,3101.28
800,350,4823.38,2667.22
800,400,5794.64,3101.28
800,450,5074.03,2711.68
800,500,5794.64,3101.28
800,550,4823.38,2667.22
800,600,5794.64,3101.28
800,650,4821.33,2658.18
800,700,4062.49,3101.28
800,750,5074.03,2667.22
800,800,4315.71,3131.46
800,850,4821.33,2658.18
800,900,4315.71,3131.46
800,950,5074.03,2667.22
800,1000,5794.64,2667.22
850,50,5794.64,3101.28
850,100,4113.15,3101.28
850,150,5794.64,3101.28
850,200,5794.64,3101.28
850,250,5794.64,3101.28
850,300,5074.03,2667.22
850,350,5794.64,3101.28
850,400,5074.03,2667.22
850,450,4821.33,2658.18
850,500,5074.03,2667.22
850,550,5794.64,3101.28
850,600,5016.12,3101.28
850,650,5794.64,3101.28
850,700,4821.33,2658.18
850,750,5794.64,2667.22
850,800,5794.64,3101.28
850,850,5794.64,3101.28
850,900,5794.64,3101.28
850,950,4821.33,2400.52
850,1000,5794.64,2667.22
900,50,5794.64,3101.28
900,100,5794.64,2667.22
900,150,4079.54,3131.46
900,200,4821.33,2400.52
900,250,4821.33,2658.18
900,300,4821.33,2658.18
900,350,5794.64,3101.28
900,400,4823.38,2667.22
900,450,5612.16,2667.22
900,500,4821.33,2658.18
900,550,4821.33,2400.52
900,600,5794.64,3101.28
900,650,5794.64,3101.28
900,700,5074.03,2400.52
900,750,4821.33,2658.18
900,800,5794.64,3101.28
900,850,5016.12,3101.28
900,900,5016.12,3101.28
900,950,5794.64,3101.28
900,1000,5794.64,3101.28
950,50,5794.64,3101.28
950,100,5794.64,2667.22
950,150,5794.64,3101.28
950,200,5794.64,3101.28
950,250,5794.64,2667.22
950,300,4967.73,3101.28
950,350,5074.03,2400.52
950,400,5794.64,3101.28
950,450,4821.33,2658.18
950,500,5794.64,3101.28
950,550,5794.64,3101.28
950,600,4821.33,2400.52
950,650,5794.64,3101.28
950,700,4113.15,3101.28
950,750,4821.33,2658.18
950,800,4821.33,2400.52
950,850,5794.64,3101.28
950,900,5794.64,2667.22
950,950,5794.64,2667.22
950,1000,4821.33,2658.18
1000,50,4823.38,2667.22
1000,100,5794.64,3101.28
1000,150,5794.64,3101.28
1000,200,5006.05,3101.28
1000,250,5794.64,3101.28
1000,300,4315.71,3131.46
1000,350,5022.26,3101.28
1000,400,5794.64,3101.28
1000,450,4315.71,3131.46
1000,500,5794.64,2667.22
1000,550,4821.33,2658.18
1000,600,5612.16,2667.22
1000,650,4823.38,2667.22
1000,700,4821.33,2658.18
1000,750,5794.64,3101.28
1000,800,5794.64,3101.28
1000,850,5074.03,2667.22
1000,900,4821.33,2400.52
1000,950,4821.33,2658.18
1000,1000,5794.64,2667.22
